DOY,Climatology
1,27.92229825
2,27.91009705
3,27.8941576
4,27.87658245
5,27.859651000000003
6,27.8392792
7,27.827837
8,27.818641050000004
9,27.8032578
10,27.7824319
11,27.75558995
12,27.73128295
13,27.7033706
14,27.681920100000003
15,27.6609916
16,27.6352341
17,27.6160238
18,27.60215175
19,27.600529549999997
20,27.598661449999998
21,27.5930368
22,27.58158975
23,27.5735835
24,27.578373499999998
25,27.565161749999998
26,27.570030550000002
27,27.562505449999996
28,27.55584355
29,27.552172849999998
30,27.556932999999997
31,27.562540300000002
32,27.558375899999998
33,27.549181549999997
34,27.5389119
35,27.5404007
36,27.546224000000002
37,27.552153600000004
38,27.56255205
39,27.565223500000002
40,27.571734199999998
41,27.57987195
42,27.5795188
43,27.594611099999998
44,27.604154599999998
45,27.632692300000002
46,27.65296085
47,27.65617395
48,27.6892204
49,27.705652049999998
50,27.69953885
51,27.728591849999997
52,27.75469715
53,27.74850995
54,27.77281885
55,27.7886765
56,27.8084381
57,27.829644000000002
58,27.870684
59,27.9013581
60,27.92506985
61,27.969978400000002
62,28.00892355
63,28.06759675
64,28.0790534
65,28.119593199999997
66,28.131762450000004
67,28.17054025
68,28.199383
69,28.24281745
70,28.2741806
71,28.3227309
72,28.3664128
73,28.42203055
74,28.467373600000002
75,28.5187623
76,28.5463431
77,28.581001300000004
78,28.647067099999997
79,28.68903585
80,28.7348429
81,28.78518315
82,28.826131800000002
83,28.860950550000002
84,28.89950495
85,28.966428450000002
86,29.0340051
87,29.0878446
88,29.1461751
89,29.218533400000002
90,29.261992400000004
91,29.325385349999998
92,29.3665368
93,29.42230995
94,29.473121
95,29.5193598
96,29.566428000000002
97,29.61045815
98,29.657540599999997
99,29.68129975
100,29.7371252
101,29.79034735
102,29.851314350000003
103,29.897187600000002
104,29.92804075
105,29.961517249999996
106,30.0061085
107,30.09362545
108,30.161462899999997
109,30.21024565
110,30.2420006
111,30.2837235
112,30.343653
113,30.399857200000003
114,30.42330155
115,30.464047850000004
116,30.50564055
117,30.5266843
118,30.55106645
119,30.552324650000003
120,30.5355272
121,30.528768300000003
122,30.530327149999998
123,30.5309875
124,30.560423250000003
125,30.563009299999997
126,30.56663555
127,30.5929877
128,30.592368800000003
129,30.574185
130,30.55740325
131,30.56708405
132,30.536716849999998
133,30.497718250000002
134,30.487359750000003
135,30.462573199999998
136,30.4700571
137,30.449963500000003
138,30.384578850000004
139,30.32087095
140,30.25745015
141,30.217897699999998
142,30.1690939
143,30.134105749999996
144,30.086175400000002
145,30.03857525
146,29.9926326
147,29.958969000000003
148,29.9348772
149,29.91872745
150,29.90268765
151,29.897164500000002
152,29.89592355
153,29.90659655
154,29.89578315
155,29.8999372
156,29.873268500000002
157,29.832493649999996
158,29.78745265
159,29.748526950000002
160,29.7145758
161,29.6803968
162,29.645026899999998
163,29.61281275
164,29.5815778
165,29.5549754
166,29.529882049999998
167,29.500599849999997
168,29.473344500000003
169,29.44473905
170,29.42346215
171,29.40158065
172,29.37621575
173,29.351334150000003
174,29.345077049999997
175,29.334754550000003
176,29.30485895
177,29.27997025
178,29.26732035
179,29.25235405
180,29.24178865
181,29.233452149999998
182,29.21523595
183,29.1969442
184,29.186684300000003
185,29.17457905
186,29.17116345
187,29.159688
188,29.1558466
189,29.1566451
190,29.1486719
191,29.131820549999997
192,29.117134549999996
193,29.103810149999997
194,29.09199645
195,29.08460015
196,29.062094050000002
197,29.046971250000002
198,29.044043449999997
199,29.03245255
200,29.03182175
201,29.019830300000002
202,29.003012899999998
203,28.99415555
204,28.98933905
205,28.98402825
206,28.98697515
207,28.99989585
208,28.9891319
209,28.9904256
210,28.980607150000004
211,28.961991949999998
212,28.949629299999998
213,28.93929695
214,28.91804755
215,28.889088400000002
216,28.8748034
217,28.86069095
218,28.84675175
219,28.835814699999997
220,28.8308211
221,28.821842249999996
222,28.819492750000002
223,28.816006800000004
224,28.825950799999998
225,28.8322458
226,28.8387317
227,28.834096249999998
228,28.8332938
229,28.82710075
230,28.84181
231,28.8595999
232,28.8724102
233,28.8746224
234,28.8700378
235,28.868407050000002
236,28.87889105
237,28.8806202
238,28.86273415
239,28.869592599999997
240,28.8743711
241,28.87732485
242,28.8658635
243,28.86751675
244,28.864775950000002
245,28.86165145
246,28.8548747
247,28.837885999999997
248,28.832644900000002
249,28.830419749999997
250,28.836523899999996
251,28.837751400000002
252,28.8460878
253,28.833664600000002
254,28.83549315
255,28.84715165
256,28.8426897
257,28.825395750000002
258,28.803977550000003
259,28.772528
260,28.7559853
261,28.738021250000003
262,28.74405385
263,28.74699435
264,28.772826650000003
265,28.782717
266,28.790110199999997
267,28.8020433
268,28.827874450000003
269,28.8374663
270,28.861759999999997
271,28.8835935
272,28.91939855
273,28.93369445
274,28.93249925
275,28.9561963
276,28.978409449999997
277,28.9824273
278,28.99160735
279,29.00566705
280,29.025269450000003
281,29.02168285
282,29.041544249999998
283,29.0707151
284,29.075448549999997
285,29.106215
286,29.145074799999996
287,29.1697653
288,29.1734655
289,29.19339795
290,29.206145099999997
291,29.225076899999998
292,29.224821650000003
293,29.206716649999997
294,29.188187
295,29.185628400000002
296,29.1976704
297,29.20789405
298,29.235810750000002
299,29.2202134
300,29.190918
301,29.195602450000003
302,29.20386105
303,29.2315099
304,29.2163753
305,29.2188861
306,29.210659800000002
307,29.1976915
308,29.198334949999996
309,29.194194700000004
310,29.179454299999996
311,29.16321345
312,29.145807050000002
313,29.14189085
314,29.123217949999997
315,29.1030144
316,29.0802078
317,29.060828800000003
318,29.04564025
319,29.032484399999998
320,29.03369545
321,29.03240795
322,29.0146428
323,28.9974555
324,28.99060105
325,28.97958915
326,28.959535199999998
327,28.938979699999997
328,28.90399745
329,28.870541050000003
330,28.847548699999997
331,28.82747685
332,28.809139950000002
333,28.779737
334,28.747297249999995
335,28.71208565
336,28.68446745
337,28.671707149999996
338,28.64856335
339,28.62963985
340,28.60599725
341,28.579706199999997
342,28.5627229
343,28.5391787
344,28.519152650000002
