Start_Date,End_Date,Duration,Wind_During,Wind_Climatology,Wind_Anomaly,Classification
2006-03-06,2006-03-11,6,2.3745006999999996,2.6492280289999997,-0.2747273290000001,Weak
2008-10-13,2008-10-18,6,1.99081912,2.05822151,-0.0674023899999999,Weak
2009-11-14,2009-11-20,7,2.066750266666667,2.7239267933333333,-0.6571765266666666,Weak
2010-03-16,2010-03-22,7,2.5519547,2.6837643225,-0.13180962249999992,Weak
2014-06-11,2014-06-19,9,3.5707606624999997,4.0488022875,-0.4780416250000001,Weak
2016-02-18,2016-03-03,15,2.381306542857143,2.6393370114285717,-0.25803046857142864,Weak
2016-03-06,2016-03-28,23,2.702911618181818,2.683229242272727,0.019682375909090943,Strong
2016-08-26,2016-08-30,5,2.404265625,3.26950218625,-0.86523656125,Weak
2017-01-01,2017-01-07,7,2.97612445,2.8039367533333337,0.17218769666666675,Strong
2018-09-29,2018-10-07,9,1.5115284125000001,2.405990714375,-0.894462301875,Weak
2019-06-24,2019-06-29,6,3.38590824,3.90604048,-0.5201322399999999,Weak
2019-10-17,2019-10-31,15,2.1648751142857146,2.4048791535714287,-0.24000403928571432,Weak
2020-05-11,2020-05-17,7,2.3777418166666666,3.1616791450000004,-0.7839373283333334,Weak
2020-06-24,2020-07-05,12,3.2231149454545456,4.062086789545455,-0.838971844090909,Weak
2020-07-08,2020-07-13,6,3.67516626,3.985226432,-0.31006017200000013,Weak
2020-07-25,2020-08-13,20,3.3771928999999994,3.9973959963157895,-0.6202030963157895,Weak
2020-09-03,2020-09-23,21,2.577023285,3.0937219760000003,-0.516698691,Weak
2021-01-07,2021-01-29,23,2.4980018909090913,2.704644421590909,-0.2066425306818182,Weak
2021-05-08,2021-05-23,16,2.71879914,3.2851386220000003,-0.5663394820000002,Weak
2021-07-15,2021-07-20,6,2.8982279799999997,3.948430063000001,-1.0502020830000003,Weak
2021-08-31,2021-09-05,6,2.07068914,3.181284232,-1.1105950919999998,Weak
2021-10-06,2021-10-12,7,1.5919230333333332,2.383922349166667,-0.7919993158333334,Weak
2021-11-17,2021-11-28,12,2.5893133545454545,2.6671014763636363,-0.07778812181818173,Weak
2021-12-03,2021-12-15,13,3.080056725,2.7281405991666663,0.35191612583333337,Strong
2022-01-01,2022-01-06,6,2.8974892,2.7949874630000004,0.10250173700000005,Strong
2022-07-27,2022-08-08,13,2.5068422666666668,4.095197610833333,-1.5883553441666667,Weak
2022-08-29,2022-09-11,14,2.3785802307692308,3.177355325769231,-0.7987750949999999,Weak
2023-01-01,2023-01-06,6,3.16863478,2.7949874630000004,0.373647317,Strong
2023-04-11,2023-05-11,31,2.68403145,3.0608593581666668,-0.37682790816666667,Weak
2023-05-28,2023-06-21,25,3.414894758333333,3.7277713841666666,-0.31287662583333337,Weak
2023-06-30,2023-07-06,7,3.2956326,4.140295860833334,-0.8446632608333332,Weak
2023-08-30,2023-09-03,5,2.2480505,3.06896425875,-0.8209137587499999,Weak
2023-10-10,2023-10-21,12,1.8942856454545451,2.196853923181818,-0.3025682777272726,Weak
2023-11-03,2023-11-09,7,2.2834227166666667,2.5112298658333336,-0.2278071491666668,Weak
2023-12-03,2023-12-09,7,2.68783855,2.785813475,-0.09797492499999993,Weak
2024-04-07,2024-05-25,49,3.0798858083333336,3.1587214071875,-0.07883559885416667,Weak
2024-05-30,2024-06-06,8,3.3714485857142855,3.313690558571429,0.05775802714285711,Strong
2024-10-07,2024-10-22,16,2.004276953333333,2.25699144,-0.2527144866666666,Weak
2024-10-30,2024-11-08,10,2.2206852444444443,2.447450688888889,-0.22676544444444455,Weak
2024-11-10,2024-11-17,8,2.577201914285714,2.6600780171428573,-0.0828761028571429,Weak
2024-11-30,2024-12-12,13,2.814537,2.730210553333333,0.08432644666666678,Strong
2025-01-01,2025-01-19,19,2.6911578944444448,2.7354682402777777,-0.04431034583333335,Weak
2025-01-22,2025-03-23,61,2.55999078,2.663449774666667,-0.10345899466666669,Weak
2025-03-29,2025-04-07,10,2.599050366666667,3.0108104094444443,-0.4117600427777778,Weak
2025-05-12,2025-05-18,7,2.4871499333333333,3.1616791450000004,-0.6745292116666667,Weak
2025-07-19,2025-07-23,5,2.8450333999999997,4.1504581387499995,-1.3054247387499998,Weak
2025-08-03,2025-08-17,15,2.962110914285714,3.900968931785715,-0.9388580175000001,Weak
2025-09-17,2025-09-21,5,1.9299707499999998,3.04277468875,-1.11280393875,Weak
2025-10-19,2025-11-03,16,2.706189433333334,2.428399195666666,0.27779023766666666,Strong
