DOY,Climatology,Threshold90
1,28.505141895454546,28.95295000625
2,28.502797940641713,28.947616170588237
3,28.500422783080808,28.942541644444443
4,28.498026051435406,28.937827189473683
5,28.495654601136362,28.933489530000003
6,28.493316674891773,28.929502152380955
7,28.491131192768595,28.92577561363636
8,28.489151501581027,28.922470352173917
9,28.487470171212124,28.919510254166667
10,28.48604034309091,28.917064456
11,28.48481541486014,28.915914153846153
12,28.48382717053872,28.915382448148147
13,28.483102568993505,28.914990725
14,28.4826403007837,28.91462601724138
15,28.482431192272728,28.914285623333335
16,28.482435262316717,28.913967190322584
17,28.4807817941349,28.910745887096777
18,28.479600083431087,28.907386229032255
19,28.478875008064517,28.903882525806452
20,28.47859732888563,28.90037882258064
21,28.478678193108504,28.89687511935484
22,28.479138627419356,28.89389799032258
23,28.479872754838713,28.891703812903224
24,28.480917912316716,28.889453287096774
25,28.482379033137832,28.887490719354837
26,28.484221101026392,28.886063480645163
27,28.48652140014663,28.885832177419353
28,28.489400157624633,28.885972267741934
29,28.49292842184751,28.887223625806453
30,28.497056383724342,28.888979303225806
31,28.501733378005866,28.891669858064514
32,28.507085030645165,28.89626489032258
33,28.51305378328446,28.901349848387095
34,28.5196515840176,28.906982096774193
35,28.526887464222877,28.91320513548387
36,28.53466880307918,28.91996346129032
37,28.543008331085048,28.927821825806447
38,28.551827779472138,28.93704063548387
39,28.561033562463344,28.946299622580643
40,28.570524356158355,28.955520161290323
41,28.580430672873902,28.964760151612907
42,28.590823366568916,28.974386483870965
43,28.60179711994135,28.98407472903226
44,28.613382023460414,28.99452486451613
45,28.625574130498535,29.006220635483867
46,28.638297569794723,29.017976103225806
47,28.651508092961876,29.03073293548387
48,28.665165165542522,29.045806258064516
49,28.679246783431086,29.06101793548387
50,28.69371836480938,29.076267464516132
51,28.70873639501466,29.092192712903223
52,28.724330321114373,29.10865829677419
53,28.740464843695015,29.125638951612903
54,28.75699659692082,29.142971296774196
55,28.773945131231674,29.16070499354839
56,28.79111479002933,29.17903954516129
57,28.80863049032258,29.197548419354835
58,28.826586531231673,29.216448174193552
59,28.84505979061584,29.23621449032258
60,28.86416646803519,29.256357248387094
61,28.88398107111437,29.276978712903226
62,28.904458451612904,29.298100887096773
63,28.925458544868032,29.31920239032258
64,28.94701451876833,29.341453483870968
65,28.96913469941349,29.364501396774195
66,28.991786357038123,29.387805003225804
67,29.015209219208213,29.411534661290325
68,29.03942378416422,29.436421687096775
69,29.06444906348974,29.461492116129033
70,29.09026676950147,29.488785048387097
71,29.116898776099706,29.51769907096774
72,29.1442666068915,29.548587119354835
73,29.172282268328445,29.579462116129033
74,29.200859256011732,29.61081542903226
75,29.22996961627566,29.642197987096775
76,29.259450174046922,29.673109390322583
77,29.289431601466276,29.70474580967742
78,29.319900934604107,29.73628627419355
79,29.350785091788858,29.767444709677417
80,29.381970539589442,29.798804841935485
81,29.413382973460415,29.83176302580645
82,29.44488665527859,29.86492179354839
83,29.47642488416422,29.899820403225807
84,29.50806103958944,29.935200564516126
85,29.53985606378299,29.97392563870968
86,29.57176135087977,30.013350177419355
87,29.60406378856305,30.053367438709675
88,29.63658694164223,30.093847416129034
89,29.669171792961876,30.134008319354837
90,29.7016758,30.17399182903226
91,29.73395783680352,30.213857358064516
92,29.766109751173023,30.255250541935485
93,29.798114670087976,30.29696466129032
94,29.82998635410557,30.339036419354837
95,29.861671403225806,30.381584177419352
96,29.893027476979473,30.423374612903228
97,29.924055848387095,30.464810461290323
98,29.954455083284454,30.506191835483868
99,29.984045382697946,30.545519741935482
100,30.012766690029324,30.58445006451613
101,30.040558678885628,30.621280632258063
102,30.067351275073314,30.656560812903226
103,30.092957689442816,30.68974630967742
104,30.117262921261,30.721697312903224
105,30.140070949706747,30.75303771935484
106,30.161155581524923,30.784644022580643
107,30.180792359384164,30.81553407096774
108,30.198820699120233,30.846023409677418
109,30.215198368328444,30.875607338709674
110,30.2300383686217,30.902034387096776
111,30.24344519134897,30.927545951612906
112,30.25545796612903,30.95142161290323
113,30.266036186070384,30.977901832258066
114,30.275187401466276,31.002101874193546
115,30.282803202052786,31.02483130967742
116,30.2890219143695,31.04401469677419
117,30.293848403812316,31.061758445161292
118,30.296913292228737,31.07664758064516
119,30.29822044208211,31.089184793548387
120,30.29779302815249,31.101197793548387
121,30.295547790615835,31.112323364516126
122,30.291393660117297,31.122384070967744
123,30.285263242961875,31.126604477419356
124,30.277207749706744,31.125855712903228
125,30.26717577844575,31.12060948064516
126,30.25522881334311,31.11178583870968
127,30.241473154545453,31.101117603225806
128,30.225989454838707,31.086549874193548
129,30.208947346627568,31.06836070967742
130,30.190533622140762,31.047444896774195
131,30.170783728299124,31.023581232258064
132,30.149927611290323,30.997442422580647
133,30.12807770733138,30.96929830967742
134,30.105420063636366,30.940038429032256
135,30.082126931085046,30.91027334516129
136,30.058431618328445,30.878914258064516
137,30.034544822434018,30.84553009032258
138,30.01030397903226,30.81118131612903
139,29.9857676797654,30.775796374193547
140,29.961053211730206,30.739383316129036
141,29.93610008387097,30.702352406451613
142,29.910942744428148,30.665361616129033
143,29.885551379032258,30.627934251612903
144,29.86002903797654,30.586383061290324
145,29.83440033181818,30.543918629032262
146,29.808790611730206,30.501013732258066
147,29.78311425307918,30.456926135483872
148,29.75739066510264,30.4128985
149,29.731835358797653,30.37030339032258
150,29.7066032585044,30.32843654516129
151,29.681707910557183,30.28642342903226
152,29.6572503829912,30.24377631290323
153,29.633311124340178,30.200855841935482
154,29.609888114809383,30.160828325806452
155,29.58693845894428,30.123119106451615
156,29.564489670087976,30.08710897096774
157,29.542529364956014,30.052437354838712
158,29.521131785337246,30.01853411935484
159,29.500322672873903,29.987904496774195
160,29.480116016862173,29.960005251612902
161,29.46045304633431,29.933737341935483
162,29.441326095307915,29.90858964193548
163,29.422658195454545,29.885305409677418
164,29.404466794868036,29.86382457096774
165,29.38668427038123,29.843005729032257
166,29.3693236228739,29.822415764516126
167,29.352377492521995,29.802956632258063
168,29.33587917829912,29.7844445483871
169,29.319855944281525,29.76704546451613
170,29.304263792521994,29.75027632258065
171,29.289067146774194,29.73455751935484
172,29.274240338416423,29.720540632258068
173,29.259794720087978,29.70728569032258
174,29.24575039325513,29.694912000000002
175,29.232039109530792,29.683181274193547
176,29.218677569061583,29.67236379032258
177,29.20559889252199,29.662479841935486
178,29.192807288856304,29.65384151612903
179,29.180250372287393,29.64557540645161
180,29.16786166158358,29.63689221935484
181,29.1555909431085,29.628662580645162
182,29.14342553870968,29.62016973548387
183,29.131396713489735,29.61218594516129
184,29.11956834985337,29.60407500967742
185,29.107976208797655,29.596531241935484
186,29.09671990762463,29.589972416129033
187,29.085916680351907,29.58433175806452
188,29.075588634604102,29.578972312903225
