Start_Date,End_Date,Duration,Wind_During,Wind_Climatology,Wind_Anomaly,Classification
2010-03-04,2010-03-10,7,3.3973485333333335,3.641448091666667,-0.2440995583333334,Weak
2010-03-28,2010-04-03,7,3.1596268999999997,3.101680920833333,0.057945979166666696,Strong
2010-04-10,2010-04-20,11,2.7605852,3.1229732974999997,-0.3623880975,Weak
2010-04-22,2010-04-26,5,3.27247485,3.4114385587500005,-0.13896370875000008,Weak
2010-05-11,2010-05-16,6,5.0680247199999995,4.643020543,0.42500417700000004,Strong
2015-06-10,2015-06-14,5,4.15367565,5.48636740625,-1.33269175625,Weak
2015-09-05,2015-09-13,9,4.240549025,5.3338703800000005,-1.093321355,Weak
2015-10-11,2015-11-02,23,2.7574527772727273,4.219623610681819,-1.462170833409091,Weak
2015-12-08,2016-01-15,39,4.146279834210527,4.224690115131579,-0.07841028092105261,Weak
2016-01-19,2016-02-02,15,4.256459814285713,4.329818880714285,-0.07335906642857148,Weak
2016-04-21,2016-05-22,32,3.5899373161290327,4.223356850645161,-0.6334195345161292,Weak
2017-11-16,2017-11-20,5,2.444284475,3.56718658125,-1.1229021062500002,Weak
2019-03-04,2019-03-08,5,3.0993819499999997,3.5908122425,-0.49143029250000025,Weak
2019-04-17,2019-04-23,7,3.3255770833333336,3.215539275,0.11003780833333325,Strong
2019-07-07,2019-07-20,14,4.824757607692307,5.831919259230769,-1.0071616515384614,Weak
2019-10-04,2019-10-19,16,2.9637137666666664,4.651939086333332,-1.6882253196666668,Weak
2020-07-18,2020-07-29,12,4.599573727272727,5.562180742727272,-0.9626070154545455,Weak
2020-08-17,2020-09-17,32,4.475617841935484,5.286165392419354,-0.810547550483871,Weak
2021-05-11,2021-05-19,9,2.7755865875000003,4.75224533375,-1.97665874625,Weak
2023-08-23,2023-08-31,9,4.701849512500001,5.211644736875,-0.5097952243750001,Weak
2023-11-03,2023-11-26,24,3.029609634782609,4.0109188176086965,-0.9813091828260869,Weak
2024-01-25,2024-03-08,44,4.245959823255814,4.054926185930233,0.1910336373255814,Strong
2024-03-28,2024-04-11,15,2.607642835714286,3.0449976778571433,-0.4373548421428571,Weak
2024-04-14,2024-05-24,41,3.339648305,4.0880877225,-0.7484394175,Weak
2024-06-14,2024-09-02,81,4.93716325,5.5370284925625,-0.5998652425625001,Weak
2024-09-26,2024-10-12,17,3.9664267375,4.9597934340625,-0.9933666965625,Weak
2024-10-29,2025-01-16,79,4.186655417948717,4.164809906089744,0.02184551185897437,Strong
2025-10-13,2025-10-18,6,4.40788214,4.4363789780000005,-0.02849683799999996,Weak
